CodigoProducto,Producto,Categoria
RE-FVL357-4672,GREEN LAND GARI BLANCO 9 KG.,VERDURA CURTIDA
SE-FVL353-0648,JACK POT LYCHEES ENTEROS EN ALMIBAR LIGHT 565 G,FRUTA ENLATADA
SE-BEB151-8538,ASAHI SUPER DRY BEER BOTELLA 330 ML,CERVEZA
CO-FVL356-1512,SHIRAKIKU/NISHIMOTO EDAMAME FRIJOL DE SOYA 400 G,VERDURA CONGELADA
CO-TYE751-1324,PEKING GYOZA SKIN 283 G,TORTILLA PARA GYOZA
RE-BEB152-0098,CALPITOYO 1 L,CONCENTRADO
OT-UTE805-9293,TOYO PALILLO DE MADERA ESPECIAL 100 PARES,PALILLOS DE MADERA
SE-BEB151-1430,SAPPORO BEER PRE'M 355 BOTELLA ML,CERVEZA
SE-SYE553-1932,TOYO RYORI SAKE 1 L,SAKE PARA COCINAR
SE-SYE559-1905,TOYO MANJO MIRIN 1 L,SAZONADOR MIRIN
SE-BEB154-0543,HATA RAMUNE BLUEBERRY BOTTLE 200ML,CON GAS
SE-BEB154-9917,HATA RAMUNE LICHI BOTTLE 200 ML,CON GAS
SE-BEB154-2344,HATA RAMUNE ICHIGO BOTTLE 200ML,CON GAS
CO-SFP603-4127,SHIMADAYA SANUKI UDON 5 PZAS 1.250 KG,FIDEO UDON
SE-BEB154-2345,HATA RAMUNE MELON BOTTLE 200ML,CON GAS
SE-HYE400-0240,ERAWAN GLUTINOUS RICE FLOUR 454 G.,HARINA DE ARROZ
SE-BEB154-2848,HATA RAMUNE ORANGE BOTTLE 200ML,CON GAS
SE-HYE402-1970,TOYO TEMPURA BATTER MX 1 KG,HARINA PARA TEMPURA
CO-TYE752-2021,WEI-CHUAN SPRING ROLL 25 PZAS 312 G,TORTILLA PARA ROLLO
CO-SFP602-4788,SUN NOODLE FIDEO RAMEN TK#26S 50 PZAS 6.38 KG,FIDE JAPONÉS
SE-BEB154-2346,HATA RAMUNE PINE BOTTLE 200ML,CON GAS
SE-SAL500-0897,LKK OYSTER SAUCE PANDA 510 G,SALSA CHINA
SE-HYE403-1978,UC PANKO BREADCRUMBS 20LB MOD.00420A,PANKO
SE-ARR101-0838,TOYO MAI KOMACHI ARROZ U.S. # 1 20 KG,ARROZ CALROSE
SE-ACE050-0701,KADOYA ACEITE DE AJONJOLI 56FL (1.656L),ACEITE AJONJOLÍ
SE-SAL549-1770,SRIRACHA TAPA VERDE GRANDE 793 GRS,OTRAS SALSAS
OT-UTE899-5280,SM PALILLO DE BROCHETA DE BAMBU 95-100 PZAS. 15 CM,OTROS UTENSILIOS
SE-ACE099-10941,KADOYA RAYU 1.65 KG,OTROS ACEITES
CO-PDM458-9766,AQUAMAR SURIMI EN BARRITAS 1 KG,SURIMI
CO-FVL356-6031,TOYO EDAMAME 400 G,VERDURA CONGELADA
SE-TYE750-12771,KOKKU PAPEL DE ARROZ CUADRADO 22 CM 340 G,TORTILLA DE ARROZ
SE-ARR101-10709,KIRAMEKI ARROZ U.S. # 1 22.68 KG,ARROZ CALROSE
SE-SAL502-1936,TOYO SALSA DE SOYA 20 LTRS.,SALSA DE SOYA
SE-TE653-8464,JACK POT TE DE OOLONG 2.268 KG,TÉ OOLONG
SE-SYE558-1943,TOYO SHICHIMI TOGARASHI SOBRES,SAZONADOR JAPONÉS
SE-SAL500-0887,LKK KUM CHUN OYSTER FLAVORED SAUCE4.85 LB,SALSA CHINA
SE-BEB154-2343,HATA RAMUNE ORIGINAL BOTTLE 200ML,CON GAS
SE-SAL502-2073,YAMASA SALSA DE SOYA 18.9 L,SALSA DE SOYA
RE-SYE556-4678,JONGGAVISION KOCHIJAN 1 KG,SAZONADOR COREANO
CO-PDM452-1518,SHIRAKIKU KANIKAMA PREMIUM GOLD 500 G,KANIKAMA
SE-BEB154-9918,HATA RAMUNE YUZU BOTTLE 200 ML,CON GAS
SE-BEB154-9916,HATA RAMUNE YOGURT BOTTLE 200 ML,CON GAS
SE-TYE750-12769,KOKKU PAPEL DE ARROZ REDONDO 22 CM 340 G,TORTILLA DE ARROZ
SE-HYE403-1926,TOYO PAN MOLIDO JAPONES 500 G,PANKO
SE-SAL504-0942,MAEPLOY SWEET CHILI SAUCE 4 KG,SALSA TAILANDESA
SE-SFP606-11816,NONG SHIM NOODLE SOUP BOLSA 120 G,SOPAS Y FIDEOS INSTA
SE-FVL398-4442,SEKIMOTO SHISO UMEBOSHI BLANCO 150 G,OTRA FRUTA
SE-SYE599-2962,KEWPIE MAYONESA 1.89L,OTRO SAZONADOR
CO-PDM499-10736,ICHIMASA NARUTO MAKI 150 G,OTROS PRODUCTOS MAR
SE-HYE403-1980,TOYO PAN MOLIDO ESTILO JAPONÉS 9.07 KG,PANKO
SE-SAL503-7750,TOYO SALSA DE ANGUILA 5.1  KG,SALSA JAPONESA
RE-SYE551-1002,MARUKOME MISO WHITE 2.2LB,MISO
RE-TQO702-0582,HOUSE HINOICHI TOFU FIRME 396 GRS.,TOFU
SE-PDM457-4671,TETSUJIN HANA KATSUO 454 G,PESC Y MARISC DESHID
RE-SYE552-1947,TOYO TAHINI CREMA DE AJONJOLI 500G,PASTA DE AJONJOLÍ
SE-SYE599-5231,AJINOMOTO GLUTAMATO BOLSA 1 KG,OTRO SAZONADOR
SE-PDM450-1910,TOYO NORI BLUE 100 HJS.,ALGA
SE-TYE750-9965,CATHAY PAPEL DE ARROZ CUADRADO 22 CM 340 G,TORTILLA DE ARROZ
CO-PDM450-10620,KOKKU WAKAME ALGA SAZONADA 1 KG,ALGA
CO-TYE752-1323,PEKING EGG ROLL SKIN 27-30 HJS 907 G,TORTILLA PARA ROLLO
SE-HYE402-4950,TOYO TEMPURA BATTER MIX 18.14 KG,HARINA PARA TEMPURA
SE-TE650-8463,JACK POT TE DE JAZMIN 2.268 KG,TÉ JAZMÍN
CO-SFP602-5743,SUN NOODLE FIDEO FRESH RAMEN #22W 50 PZAS 7.100 KG,FIDE JAPONÉS
