ALMACEN AGRUPADO,VENTA MES
OFICINA GDL,12386222
AGENTE CLAVE  GDL,7784770
GDL6 - DANIEL  AGUILAR,5209577
GDL13 - SANDRA NAVARRO,4145342
GDL5 - ALAN PEREZ,2279375
GDL3 - MARICELA REYNOSO,1770683
GDL1 - OSCAR YEPEZ,1591675
GDL9 - ANTONIO V.,1256463
GDL14- ARCENIO AGUIRRE,1001806
GDL4 - JULIO DE LA CRUZ,987312
RUTA ATOTONILCO GDL,901384
GDL15 - ALDO SIERRA,886800
RUTA LOS ALTOS GDL,684471
RUTA JALOSTOTITLAN GDL,683982
RUTA SAHUAYO GDL,549456
RUTA AMECA GDL,531877
RUTA ARANDAS GDL,436947
RUTA TEQUILA GDL,407959
RUTA CHAPALA GDL,329450
RUTA TAPALPA GDL,67063
